St,Course #,S,L,Course Name,_,CR ,PN,GE Reqs,Meeting Time(s),Location(s),Instructor(s)
C,ALSO 100,A,,Top: Beginning Arabic I Permission of instructor required to register.,,1.00,N,,MWF 1255-0150PM,TOH 153,"Debska-McWilliams, Renata"
C,ALSO 100,B,,Top: Beginning Arabic I Permission of instructor required to register.,,1.00,N,,MWF 0200-0255PM,TOH 153,"Debska-McWilliams, Renata"
C,ALSO 102,,T,Top: Beginning Korean I Permission of instructor required to register.,,1.00,N,,T 0120-0245PM Th 0215-0335PM,TOH 153 TOH 153,"Debska-McWilliams, Renata"
C,ALSO 200,,T,Top: Arabic Intermediate Permission of instructor required to register.,,1.00,N,,T 0800-0925 Th 0800-0920,TOH 153 TOH 153,"Debska-McWilliams, Renata"
C,AMCON 101,A,,Declaring Ind: 1607-1865 Open to American Conversations students only.,,1.00,N,,MWF 1255-0150PM,BMC 101,"Hahn, Steven C. Wells, Colin"
C,AMCON 101,B,,Declaring Ind: 1607-1865 Open to American Conversations students only.,,1.00,N,,MWF 1255-0150PM,BMC 102,"Hahn, Steven C. Wells, Colin"
C,AMCON 201,A,,Remaking Am: 1865-1945 Open to American Conversations students only.,,1.00,N,ALS-L MCD WRI,MWF 1150-1245PM,BMC 101,"Fure-Slocum, Eric J. Kutulas, Judy"
C,AMCON 201,B,,Remaking Am: 1865-1945 Open to American Conversations students only.,,1.00,N,ALS-L MCD WRI,MWF 1150-1245PM,BMC 102,"Fure-Slocum, Eric J. Kutulas, Judy"
C,AMST 100,,,Perspect Am Culture,,1.00,N,HBS MCD,MWF 1255-0150PM,RML 525,"Titus, Mary"
O,AMST 209,,T,Top: Global Exchanges This course is paired with Sociology/Anthropology 262 Global Interdependence.,,1.00,N,,MWF 0905-1000,HH 403,"Farrell, James"
C,AMST 294,,,Academic Internship,,1.00,Y,,,,Staff
O,AMST 298,,,IS/,,1.00,N,,,,Staff
C,AMST 394,,,Academic Internship,,1.00,Y,,,,Staff
O,AMST 398,,,IR/,,1.00,N,,,,Staff
C,AMST 398,A,,IR/Beyond Rachel Carson,,1.00,N,,,,"Kutulas, Judy"
O,AR/AS 259,,,Arts of China,,1.00,N,ALS-A MCG,MWF 1150-1245PM,DC 305,"Kucera, Karil J."
C,ARMS 121,,,Intro to Arms,,1.00,N,ALS-L MCD,T 0120-0245PM Th 0215-0335PM,RML 421 RML 421,"Hepburn, Joan"
C,ARMS 294,,,Academic Internship,,1.00,Y,,,,Staff
O,ARMS 298,,,IS/,,1.00,N,,,,Staff
C,ARMS 394,,,Academic Internship,,1.00,Y,,,,Staff
O,ARMS 398,,,IR/,,1.00,N,,,,Staff
C,ART 102,A,,Foundation 2-D Media This course has class year limits.,,1.00,N,ALS-A,MWF 1255-0255PM,DC 216,"Arneson, Wendell"
C,ART 102,B,,Foundation 2-D Media This course has class year limits.,,1.00,N,ALS-A,T 0800-1100 Th 0800-1050,DC 216 DC 216,"Saurer, John"
C,ART 102,C,,Foundation 2-D Media This course has class year limits.,,1.00,N,ALS-A,MWF 1045-1245PM,DC 216,"Weeks, Michon"
C,ART 103,,,Foundation 3-D Media This course has class year limits.,,1.00,N,ALS-A,TTh 0800-1100,DC 106,"Dell, Irve"
O,ART 104,A,,Foundation New Media This course has class year limits.,,1.00,N,ALS-A,MWF 1255-0255PM,DC 100,"Alvarez, Guido"
C,ART 104,B,,Foundation New Media This course has class year limits.,,1.00,N,ALS-A,MTh 0700-1000PM,DC 100,"Alvarez, Guido"
O,ART 150,,,Intro/Art History I This course has class-year limits.,,1.00,N,ALS-A MCG,MW 1045-1140,DC 305,"Thompson, Nancy M. Kucera, Karil J."
C,ART 150,A,D,Intro/Art Hist Discussion,,0.00,N,,F 1045-1140,DC 305,"Thompson, Nancy M."
O,ART 150,B,D,Intro/Art Hist Discussion,,0.00,N,,F 1045-1140,DC 204,"Kucera, Karil J."
C,ART 205,,,Photography This course has class-year limits.,,1.00,N,ALS-A,T 1145-0245PM Th 1245-0345PM,DC 102 DC 102,"Ojala, Margaret"
C,ART 207,A,,Ceramics This course has class-year limits.,,1.00,N,ALS-A,T 0800-1100 Th 0800-1050,DC 115 DC 115,"Gallas, Ron"
C,ART 207,B,,Ceramics This course has class-year limits.,,1.00,N,ALS-A,T 1145-0245PM Th 1245-0345PM,DC 115 DC 115,"Gallas, Ron"
C,ART 221,,,Oil/Acrylic Painting Not open to first-year students.,,1.00,N,,MWF 0800-1000,DC 214,"Arneson, Wendell"
